ID,Property Type,Bedrooms,Rent,Utilities Included,Min Stay,Bathrooms,Fees,Yard,Parking,Availability,Location,Link,Is Available,Time To Work
258007_1,Apartment,0.5,2550,True,3 Month Minimum,1,Cleaning Fee - $200.00/Deposit (Refundable) - $500.00/Pet Deposit (Non-Refundable) - $300.00,False,Free Parking on Premises,[],"32.731410, -116.973920",https://furnishedfinder.com/property/258007_1,True,1596
186937_1,House,2,4000,True,3 Month Minimum,2,Deposit (Refundable) - $1000.00/Cleaning Fee - $200.00/Pet Deposit (Non-Refundable) - $500.00,False,Free Parking on Premises,[],"32.8038320, -117.2527590",https://furnishedfinder.com/property/186937_1,True,950
318776_1,House,5,"1,70",True,Month to Month,3,Pet Deposit (Non-Refundable) - $250.00/Cleaning Fee - $300.00/Deposit (Refundable) - $1000.00,False,Free Parking on Premises,[],"33.0508821, -117.0632954",https://furnishedfinder.com/property/318776_1,True,1447
295402_1,Condo,2,3800,True,Month to Month,2,Cleaning Fee - $150.00/Deposit (Refundable) - $3000.00/Pet Deposit (Refundable) - $300.00,False,Free Parking on Premises,[],"33.0503912, -117.2864367",https://furnishedfinder.com/property/295402_1,True,1013
240012_1,Apartment,1,2500,True,Month to Month,1,Cleaning Fee - $200.00/Pet Deposit (Refundable) - $100.00,False,Free Parking on Premises,[],"32.6973372, -117.1726356",https://furnishedfinder.com/property/240012_1,True,1319
242487_1,Apartment,0.5,2795,True,Month to Month,1,Pet Deposit (Refundable) - $250.00/Cleaning Fee - $65.00/Deposit (Refundable) - $250.00,False,Free Parking on Premises,[],"32.7166710, -117.1239475",https://furnishedfinder.com/property/242487_1,True,1255
314659_1,Apartment,1,3500,True,Month to Month,1,Deposit (Non-Refundable) - $300.00,False,Free Parking on Premises,[],"32.6493824, -117.0667893",https://furnishedfinder.com/property/314659_1,True,1425
263904_1,Apartment,1,3095,False,3 Month Minimum,1,,False,Free Parking on Premises,[],"32.614030, -117.083650",https://furnishedfinder.com/property/263904_1,True,1529
263904_2,Apartment,2,3495,False,3 Month Minimum,2,,False,Free Parking on Premises,[],"32.614030, -117.083650",https://furnishedfinder.com/property/263904_2,True,1529
318834_2,Apartment,1,2400,True,3 Month Minimum,1,Cleaning Fee - $100.00/Deposit (Refundable) - $1000.00/Pet Deposit (Non-Refundable) - $100.00,False,Free Parking on Premises,[],"32.7171882, -117.1216974",https://furnishedfinder.com/property/318834_2,True,1228
180453_2,Apartment,0.5,2000,True,3 Month Minimum,1,Deposit (Refundable) - $2000.00/Cleaning Fee - $150.00/Pet Deposit (Refundable) - $500.00,True,Free street parking in front of home residential streets,[],"32.793515, -117.235366",https://furnishedfinder.com/property/180453_2,True,883
272665_1,Apartment (Sublet),1,2178,False,,1,,False,,[],"32.9979198634493, -117.08602486292725",https://furnishedfinder.com/property/272665_1,True,1240
316124_1,House,1,3200,True,Month to Month,1,Cleaning Fee - $100.00/Deposit (Refundable) - $3200.00,True,Free Parking on Premises,[],"32.7920948, -117.2323367",https://furnishedfinder.com/property/316124_1,True,877
318088_1,Condo,1,3300,True,Month to Month,1,Application Fee - $40.00/Cleaning Fee - $150.00/Deposit (Refundable) - $1700.00,False,Free Parking on Premises,[],"32.7267950, -117.1645715",https://furnishedfinder.com/property/318088_1,True,914
314792_1,Condo,1,1900,True,Month to Month,1,,True,Free Parking on Premises,[],"32.7215615, -116.9737028",https://furnishedfinder.com/property/314792_1,True,1743
306401_1,Condo,1,5300,True,Month to Month,1,Cleaning Fee - $150.00/Deposit (Refundable) - $2650.00,False,Shared parking,[],"32.7837058, -117.2532429",https://furnishedfinder.com/property/306401_1,True,1219
209772_1,Apartment,0.5,1750,True,3 Month Minimum,1,Cleaning Fee - $100.00/Deposit (Refundable) - $100.00/Pet Deposit (Refundable) - $100.00,True,Free Parking on Premises,[],"32.7454428, -117.1807109",https://furnishedfinder.com/property/209772_1,True,869
240960_1,Apartment,2,3500,True,Month to Month,2,Cleaning Fee - $150.00,False,Free Parking on Premises,[],"32.7176950, -117.1446550",https://furnishedfinder.com/property/240960_1,True,995
278322_1,Apartment,1,2295,True,3 Month Minimum,1,Deposit (Refundable) - $1500.00/Pet Deposit (Non-Refundable) - $150.00,False,Free Parking on Premises,[],"32.6827836, -117.1088642",https://furnishedfinder.com/property/278322_1,True,1231
191603_7,Apartment (Sublet),2,2950,True,3 Nights,1,Deposit (Refundable) - $29500.00,False,1 off street assigned parking space,[],"32.8011548, -117.2311087",https://furnishedfinder.com/property/191603_7,True,746
191603_8,Apartment (Sublet),2,2950,True,3 Nights,2,Deposit (Refundable) - $2950.00,False,Free Parking on Premises,[],"32.8011548, -117.2311087",https://furnishedfinder.com/property/191603_8,True,746
